product_name,average_review_rating,amazon_category_and_sub_category,number_of_reviews,customers_who_bought_this_item_also_bought,items_customers_buy_after_viewing_this_item
Equivalent Fractions Snap Card Game,4.7,Games > Card Games,3.0,Green-Board-Games-GBG311-Fraction > Fraction-Fundamentals  > Green-Board-Games-GBG312-Maths > The-Green-Board-Game-Co > The-Green-Board-Game-GBG316 > The-Green-Board-Game-GBG310,Green-Board-Games-GBG311-Fraction > The-Green-Board-Game-GBG310 > The-Green-Board-Game-Co > Green-Board-Games-GBG312-Maths
Ravensburger Doc McStuffins Dominoes,5.0,Characters & Brands > Ravensburger,1.0,Ravensburger  > Top-Trumps-Mcstuffin-Activity-WM022064 > Doc-Mcstuffins  > Doc-McStuffins  > GoGlow-Doc-McStuffins  > VTech-McStuffins,Ravensburger  > Preschool-Gaming-Doc-Mcstuffins  > Ravensburger  > Doc-McStuffins
Doc McStuffins Sharing is Caring Dominoes,4.3,Characters & Brands > Disney > Toys,3.0,Ravensburger  > Disney-Princess-1000-Sticker-Book > Crayola-Disney-McStuffins  > Disney-CBH61-Frozen-Olaf-Doll > Hasbro-285-A2043-Chasin-Cheeky > Ravensburger,Doc-McStuffins  > Preschool-Gaming-Doc-Mcstuffins  > Ravensburger  > Doc-Mcstuffins
VTech InnoTab Software: Hello Kitty - A Day with Hello Kitty and Friends!,4.2,Characters & Brands > VTech,43.0,VTech-InnoTab-Software-Minnie-Mouse > VTech-InnoTab-Software-Disney-Princess > 230303-InnoTab-Software-Disney-Fairies > VTech-InnoTab-Software-Doc-McStuffins  > VTech-InnoTab-Software-Peppa-Pig > VTech-InnoTab-Software-Sofia-First,VTech-InnoTab-Software-Disney-Princess > VTech-InnoTab-Software-Minnie-Mouse > 230303-InnoTab-Software-Disney-Fairies > VTech-InnoTab-Software-Doc-McStuffins
Orchard Toys Slug in a Jug,4.6,Games > Educational Games,57.0,Orchard-Toys-Robber-Assorted-Colours > Orchard-Toys-Match-Spell-Board > Orchard-Toys-010-Scaredy-Cat > Orchard-Toys-Pass-Word > Orchard-Toys-92911-Magic-Cauldron > Orchard-Toys-5011863100658,Orchard-Toys-Match-Spell-Board > Orchard-Toys-92911-Magic-Cauldron > Orchard-Toys-003-Shopping-List > Orchard-Toys-Robber-Assorted-Colours
Junior Alpha Animals,4.8,Games > Educational Games,4.0,Melissa-Doug-Underwater  > LEGO-DUPLO-10618-Creative-Building > Brainbox-38172W-BrainBox-Animals > The-Green-Board-Game-Co > Lego-Crazy-Action-Contraptions  > The-Green-Board-Game-44140W,Green-Board-Games-GBGAA-Animals > Game-Junior-Alpha-Animals-GB10001 > Orchard-Toys-80-Animal-Safari > Baby-Zoo-Animals-Stamp-Set
Cup Cake Dice High Score - Maths Level 1 (6 - 8 years),4.3,Games > Educational Games,28.0,Cup-Cake-Dice-High-Score > Dude-Dice-High-Score-Maths > Dino-Dice-Maths-Numbers-years > Dude-Dice-Level-children-aged > First-Joke-Book-Young-Corgi > Dude-Dice-High-Score-Level,Dino-Dice-Maths-Numbers-years > Cup-Cake-Dice-High-Score > Dude-Dice-High-Score-Maths > Dude-Dice-Level-children-aged
Hape Early Explorer Dynamo Dominoes Game,5.0,Games > Dominoes & Tile Games,1.0,Learning-Resources-Design-Drill-Bright > Naty-Nature-Babycare-Size-Nappies > Hape-E3454-Dining-Stools-Cupboard > Hape-International  > Treasure-Hunt-Game-Toy-Gotrovo > Melissa-Doug-Billy-Magnetic-Dress-Up,Toys-Pure-Wooden-Domino-Rally > Treasure-Hunt-Game-Toy-Gotrovo > Domino-Express-9821-Duel
Cheatwell Games Giant in Little Boxes the Name Game,4.9,Games > Educational Games,8.0,Cheatwell-Games-Giant-Little-Boxes > Cheatwell-Games-Giant-Little-Boxes > Cheatwell-After-Dinner-Games-Dropping > Cheatwell-After-Dinner-Games-Game > More-Whos-The-Additional  > Cheatwell-After-Dinner-Games-Tales,Cheatwell-Games-Giant-Little-Boxes > Cheatwell-Games-Giant-Little-Boxes > Paul-Lamond-Games-64509-Whos > More-Whos-The-Additional
Creativity for Kids Butterfly Wind Chime Mini Kit,5.0,Arts & Crafts > Children's Craft Kits,1.0,Make-Sparkling-Dream-Catcher > 4M-Make-Crystalite  > House-Crafts-Start-Glass-Painting > 4M-Make-Crystalite  > Creativity  > 4M-3498-Mould-Paint-Glitter,4M-Make-Crystalite  > Make-Sparkling-Dream-Catcher > 4M-Make-Crystalite  > 4M-3498-Mould-Paint-Glitter
"Dominoes- double six, plastic,black spots,spinners-00120",5.0,Games > Dominoes & Tile Games,7.0,Dominoes-double-plastic-coloured-spots-00117 > Stress-Ball-Smiley-Faces-StressCHECK  > Tobar-04484-Metal-Jacks-Set > Decks-Waddington  > UNO-Cards-42003 > Waddingtons,Dominoes-double-plastic-black-spinners-00121 > Waddingtons  > Double-Dominoes-Traditional  > Supreme-Quality-Dominoes-Set-Handy
